"String ID","Source text","Translation","Context","Path","Filename"
"121","knots","knopen","","SYSTEM","knot1.wav"
"122","meter per second","meter per seconde","","SYSTEM","mps0.wav"
"123","meters per second","meter per seconde","","SYSTEM","mps1.wav"
"124","foot per second","voet per seconde","","SYSTEM","fps0.wav"
"125","feet per second","voet per seconde","","SYSTEM","fps1.wav"
"126","kilometer per hour","kilometer per uur","","SYSTEM","kph0.wav"
"127","kilometers per hour","kilometer per uur","","SYSTEM","kph1.wav"
"128","mile per hour","mijl per uur","","SYSTEM","mph0.wav"
"129","miles per hour","mijl per uur","","SYSTEM","mph1.wav"
"130","meter","meter","","SYSTEM","meter0.wav"
"131","meters","meter","","SYSTEM","meter1.wav"
"132","foot","voet","","SYSTEM","foot0.wav"
"133","feet","voet","","SYSTEM","foot1.wav"
"134","degree celsius","graad Celsius","","SYSTEM","celsius0.wav"
"135","degrees celsius","graden Celsius","","SYSTEM","celsius1.wav"
"136","degree fahrenheit","graad Fahrenheit","","SYSTEM","fahr0.wav"
"137","degrees fahrenheit","graden Fahrenheit","","SYSTEM","fahr1.wav"
"138","percent","procent","","SYSTEM","percent0.wav"
"139","percent","procent","","SYSTEM","percent1.wav"
"140","milliamp-hour","milliampère-uur","","SYSTEM","mamph0.wav"
"141","milliamp-hours","milliampère-uur","","SYSTEM","mamph1.wav"
"142","watt","watt","","SYSTEM","watt0.wav"
"143","watts","watt","","SYSTEM","watt1.wav"
"144","milli-watt","milliwatt","","SYSTEM","mwatt0.wav"
"145","milli-watts","milliwatt","","SYSTEM","mwatt1.wav"
"146","DB","dee bee","","SYSTEM","db0.wav"
"147","DB","dee bee","","SYSTEM","db1.wav"
"148","RPM","toeren per minuut","","SYSTEM","rpm0.wav"
"149","RPM","toeren per minuut","","SYSTEM","rpm1.wav"
"150","G","gee","","SYSTEM","g0.wav"
"151","G","gee","","SYSTEM","g1.wav"
"152","degree","graad","","SYSTEM","degree0.wav"
"153","degrees","graden","","SYSTEM","degree1.wav"
"154","radian","radiaal","","SYSTEM","rad0.wav"
"155","radians","radialen","","SYSTEM","rad1.wav"
"156","millilitre","milliliter","","SYSTEM","ml0.wav"
"157","millilitres","milliliter","","SYSTEM","ml1.wav"
"158","fluid ounce","fluid ounce","","SYSTEM","founce0.wav"
"159","fluid ounces","fluid ounce","","SYSTEM","founce1.wav"
"160","millilitre per minute","milliliter per minuut","","SYSTEM","mlpm0.wav"
"161","millilitres per minute","milliliter per minuut","","SYSTEM","mlpm1.wav"
"162","hertz","hertz","","SYSTEM","hertz0.wav"
"163","hertz","hertz","","SYSTEM","hertz1.wav"
"164","milli-second","milliseconde","","SYSTEM","ms0.wav"
"165","milli-seconds","milliseconden","","SYSTEM","ms1.wav"
"166","microsecond","microseconde","","SYSTEM","us0.wav"
"167","microseconds","microseconden","","SYSTEM","us1.wav"
"168","hour","uur","","SYSTEM","hour0.wav"
"169","hours","uur","","SYSTEM","hour1.wav"
"170","minute","minuut","","SYSTEM","minute0.wav"
"171","minutes","minuten","","SYSTEM","minute1.wav"
"172","second","seconde","","SYSTEM","second0.wav"
"173","seconds","seconden","","SYSTEM","second1.wav"
